region,subj,item,rpdur,tgdur,totfixdur,gbck,gdur,rr,rrdur,quan_cond,typic_cond,interf_cond,subj_cond,obj_cond,cond,quants,typic,interf
6,10,27,258,258,258,2,258,0,0,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,10,23,210,210,962,2,210,1,752,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
6,10,12,220,220,220,2,220,0,0,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,10,21,488,488,488,2,488,0,0,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,10,8,194,194,710,2,194,1,516,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,10,16,170,170,170,2,170,0,0,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,10,9,364,364,364,2,364,0,0,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,10,6,206,206,458,2,206,1,252,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,10,17,226,226,226,2,226,0,0,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,10,1,302,302,694,2,302,1,392,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,10,19,182,182,182,2,182,0,0,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,10,15,930,626,626,1,392,1,234,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
6,10,25,358,358,358,2,358,0,0,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,10,31,504,394,608,1,164,1,444,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
6,10,10,628,628,628,2,628,0,0,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,10,2,154,154,344,2,154,1,190,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,10,22,258,258,258,2,258,0,0,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,10,13,194,194,194,2,194,0,0,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,10,20,146,146,146,2,146,0,0,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,10,18,360,360,360,2,360,0,0,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,18,4,172,172,548,2,172,1,376,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,18,11,278,278,844,2,278,1,566,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,18,25,214,214,820,2,214,1,606,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,18,20,184,184,400,2,184,1,216,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,18,17,210,210,1336,2,210,1,1126,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,18,6,1462,246,1096,1,54,1,1042,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,18,13,184,184,550,2,184,1,366,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,18,29,362,362,362,2,362,0,0,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,18,27,874,644,990,1,464,1,526,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,18,7,396,396,1162,2,396,1,766,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
6,18,3,388,388,858,2,388,1,470,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,18,9,296,296,832,2,296,1,536,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,18,8,206,206,804,2,206,1,598,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,18,18,984,490,914,1,178,1,736,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,18,16,234,234,426,2,234,1,192,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,18,30,152,152,316,2,152,1,164,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,18,21,360,360,542,2,360,1,182,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,18,22,170,170,402,2,170,1,232,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,18,31,944,578,1278,1,266,1,1012,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
6,18,19,358,358,562,2,358,1,204,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,18,12,238,238,570,2,238,1,332,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,18,2,192,192,1234,2,192,1,1042,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,18,32,340,340,340,2,340,0,0,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,18,28,162,162,162,2,162,0,0,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,18,26,204,204,400,2,204,1,196,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,18,15,560,560,1232,2,560,1,672,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
6,18,5,682,462,894,1,284,1,610,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,18,10,1052,784,1164,1,322,1,842,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,18,1,228,228,876,2,228,1,648,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,18,23,204,204,1220,2,204,1,1016,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
6,26,10,328,328,328,2,328,0,0,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,26,25,1126,568,990,1,174,1,816,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,26,9,126,126,126,2,126,0,0,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,26,32,340,340,340,2,340,0,0,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,26,29,768,388,854,1,170,1,684,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,26,7,2838,914,1342,1,178,1,1164,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
6,26,13,392,392,652,2,392,1,260,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,26,22,292,292,292,2,292,0,0,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,26,20,358,358,358,2,358,0,0,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,26,26,204,204,204,2,204,0,0,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,26,30,274,274,274,2,274,0,0,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,26,28,440,440,440,2,440,0,0,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,26,8,444,444,444,2,444,0,0,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,26,17,304,304,1218,2,304,1,914,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,26,27,302,302,496,2,302,1,194,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,26,4,386,386,566,2,386,1,180,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,26,19,458,354,354,1,168,1,186,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,26,15,1122,380,380,1,210,1,170,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
6,26,6,594,594,1646,2,594,1,1052,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,26,2,184,184,484,2,184,1,300,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,26,23,236,236,636,2,236,1,400,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
6,26,21,174,174,174,2,174,0,0,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,26,12,202,202,202,2,202,0,0,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,26,11,468,468,1260,2,468,1,792,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,26,18,564,564,564,2,564,0,0,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,26,1,0,0,356,0,0,1,356,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,26,3,350,350,520,2,350,1,170,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,26,16,212,212,212,2,212,0,0,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,26,31,220,220,548,2,220,1,328,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
6,26,5,356,356,356,2,356,0,0,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,42,18,190,190,190,2,190,0,0,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,42,25,1056,658,658,1,212,1,446,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,42,17,414,414,414,2,414,0,0,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,42,29,224,224,576,2,224,1,352,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,42,4,196,196,196,2,196,0,0,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,42,9,188,188,346,2,188,1,158,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,42,7,260,260,768,2,260,1,508,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
6,42,30,168,168,168,2,168,0,0,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,42,8,188,188,188,2,188,0,0,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,42,1,386,386,386,2,386,0,0,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,42,15,514,514,680,2,514,1,166,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
6,42,32,234,234,234,2,234,0,0,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,42,19,420,420,666,2,420,1,246,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,42,10,438,438,626,2,438,1,188,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,42,31,196,196,676,2,196,1,480,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
6,42,26,192,192,300,2,192,1,108,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,42,11,428,428,428,2,428,0,0,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,42,21,176,176,492,2,176,1,316,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,42,3,240,240,240,2,240,0,0,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,42,6,204,204,388,2,204,1,184,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,42,27,438,438,438,2,438,0,0,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,42,2,190,190,190,2,190,0,0,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,42,16,222,222,658,2,222,1,436,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,42,28,190,190,190,2,190,0,0,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,42,12,244,244,244,2,244,0,0,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,42,13,216,216,216,2,216,0,0,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,42,22,254,254,254,2,254,0,0,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
