region,subj,item,rpdur,tgdur,totfixdur,gbck,gdur,rr,rrdur,quan_cond,typic_cond,interf_cond,subj_cond,obj_cond,cond,quants,typic,interf
8,9,28,1334,1052,1052,1,546,1,506,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
8,9,25,718,718,718,2,718,0,0,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
8,9,13,462,462,676,2,462,1,214,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
8,9,4,1252,580,580,1,186,1,394,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
8,9,21,606,606,606,2,606,0,0,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
8,9,10,606,606,606,2,606,0,0,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
8,9,29,752,752,752,2,752,0,0,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
8,9,11,1484,1162,1348,1,722,1,626,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
8,9,2,700,700,700,2,700,0,0,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
8,9,5,464,464,464,2,464,0,0,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
8,9,16,838,838,838,2,838,0,0,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
8,9,6,592,592,592,2,592,0,0,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
8,9,8,960,680,680,1,238,1,442,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
8,9,17,534,534,534,2,534,0,0,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
8,9,32,808,808,808,2,808,0,0,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
8,9,20,440,440,630,2,440,1,190,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
8,9,7,688,688,688,2,688,0,0,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
8,9,3,1630,1442,1442,1,686,1,756,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
8,9,22,184,184,184,2,184,0,0,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
8,9,12,548,548,894,2,548,1,346,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
8,9,9,830,830,830,2,830,0,0,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
8,9,19,946,946,1172,2,946,1,226,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
8,9,27,470,470,470,2,470,0,0,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
8,9,23,1226,676,676,1,178,1,498,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
8,9,30,574,574,574,2,574,0,0,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
8,9,18,680,680,680,2,680,0,0,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
8,9,15,378,378,566,2,378,1,188,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
8,9,26,532,532,532,2,532,0,0,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
8,9,31,490,490,490,2,490,0,0,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
8,17,3,606,606,950,2,606,1,344,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
8,17,9,564,564,866,2,564,1,302,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
8,17,19,8072,2672,2672,1,846,1,1826,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
8,17,31,456,456,946,2,456,1,490,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
8,17,11,398,398,1106,2,398,1,708,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
8,17,15,446,446,994,2,446,1,548,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
8,17,16,922,922,1488,2,922,1,566,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
8,17,18,536,536,742,2,536,1,206,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
8,17,23,778,778,1168,2,778,1,390,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
8,17,13,434,434,876,2,434,1,442,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
8,17,29,638,638,1800,2,638,1,1162,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
8,17,27,2434,764,764,1,764,0,0,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
8,17,28,970,622,622,1,368,1,254,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
8,17,21,520,520,520,2,520,0,0,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
8,17,17,400,400,958,2,400,1,558,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
8,17,32,726,726,726,2,726,0,0,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
8,17,26,248,248,248,2,248,0,0,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
8,17,8,420,420,420,2,420,0,0,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
8,17,12,1592,1204,1580,1,718,1,862,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
8,17,22,438,438,438,2,438,0,0,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
8,17,20,494,494,4514,2,494,1,4020,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
8,17,5,624,624,1278,2,624,1,654,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
8,17,7,1268,464,1088,1,108,1,980,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
8,17,10,1198,690,1422,1,300,1,1122,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
8,17,25,5086,1684,2186,1,1046,1,1140,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
8,17,2,690,690,1040,2,690,1,350,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
8,17,4,714,714,1938,2,714,1,1224,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
8,17,30,510,510,1186,2,510,1,676,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
8,17,6,462,462,1146,2,462,1,684,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
8,25,1,1562,1562,1562,2,1562,0,0,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
8,25,6,1872,1872,1872,2,1872,0,0,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
8,25,8,486,486,1406,2,486,1,920,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
8,25,27,772,772,772,2,772,0,0,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
8,25,23,950,454,454,1,454,0,0,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
8,25,26,324,324,324,2,324,0,0,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
8,25,2,858,548,548,1,174,1,374,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
8,25,19,2456,2456,2456,2,2456,0,0,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
8,25,30,810,810,810,2,810,0,0,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
8,25,15,282,282,808,2,282,1,526,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
8,25,29,650,650,650,2,650,0,0,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
8,25,13,390,390,390,2,390,0,0,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
8,25,25,862,862,862,2,862,0,0,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
8,25,4,540,540,676,2,540,1,136,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
8,25,32,830,830,830,2,830,0,0,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
8,25,20,970,970,970,2,970,0,0,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
8,25,9,482,482,482,2,482,0,0,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
8,25,31,352,352,352,2,352,0,0,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
8,25,3,1182,1182,1182,2,1182,0,0,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
8,25,12,150,150,306,2,150,1,156,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
8,25,10,246,246,312,2,246,1,66,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
8,25,22,158,158,158,2,158,0,0,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
8,25,28,394,394,394,2,394,0,0,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
8,25,7,328,328,328,2,328,0,0,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
8,25,5,594,594,594,2,594,0,0,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
8,25,18,456,456,874,2,456,1,418,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
8,25,11,584,584,584,2,584,0,0,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
8,25,17,400,400,794,2,400,1,394,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
8,25,21,408,408,626,2,408,1,218,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
8,25,16,946,946,946,2,946,0,0,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
8,33,30,1030,1030,1030,2,1030,0,0,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
8,33,6,4458,2816,2816,1,1672,1,1144,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
8,33,9,4006,1422,1422,1,1422,0,0,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
8,33,17,686,306,1378,1,158,1,1220,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
8,33,15,334,334,1076,2,334,1,742,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
8,33,29,1020,742,1246,1,202,1,1044,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
8,33,2,360,360,360,2,360,0,0,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
8,33,4,432,182,1486,1,182,1,1304,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
8,33,32,426,426,642,2,426,1,216,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
8,33,18,666,506,894,1,296,1,598,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
8,33,16,1328,926,926,1,242,1,684,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
8,33,3,0,0,742,0,0,1,742,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
8,33,25,1136,738,738,1,738,0,0,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
8,33,1,192,192,700,2,192,1,508,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
8,33,27,1378,624,624,1,396,1,228,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
8,33,7,358,358,358,2,358,0,0,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
8,33,19,158,158,484,2,158,1,326,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
8,33,22,510,280,696,1,280,1,416,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
8,33,12,166,166,1710,2,166,1,1544,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
